mouse_gene,human_gene_upper,human_gene,in_bulk,in_sce
Kcnv1,KCNV1,KCNV1,True,True
Kcnv2,KCNV2,KCNV2,False,True
Kcp,KCP,KCP,True,True
Kctd1,KCTD1,KCTD1,True,True
Kctd10,KCTD10,KCTD10,True,True
Kctd11,KCTD11,KCTD11,True,True
Kctd12,KCTD12,KCTD12,True,True
Kctd13,KCTD13,KCTD13,True,True
Kctd14,KCTD14,KCTD14,True,True
Kctd15,KCTD15,KCTD15,True,True
Kctd16,KCTD16,KCTD16,True,True
Kctd17,KCTD17,KCTD17,True,True
Kctd18,KCTD18,KCTD18,True,True
Kctd2,KCTD2,KCTD2,True,True
Kctd20,KCTD20,KCTD20,True,True
Kctd21,KCTD21,KCTD21,True,True
Kctd3,KCTD3,KCTD3,True,True
Kctd4,KCTD4,KCTD4,True,True
Kctd5,KCTD5,KCTD5,True,True
Kctd6,KCTD6,KCTD6,True,True
Kctd7,KCTD7,KCTD7,True,True
Kctd8,KCTD8,KCTD8,True,True
Kctd9,KCTD9,KCTD9,True,True
Kdelc1,KDELC1,KDELC1,True,False
Kdelc2,KDELC2,KDELC2,True,False
Kdelr1,KDELR1,KDELR1,True,True
Kdelr2,KDELR2,KDELR2,True,True
Kdelr3,KDELR3,KDELR3,True,True
Kdf1,KDF1,KDF1,False,True
Kdm1a,KDM1A,KDM1A,True,True
Kdm1b,KDM1B,KDM1B,True,True
Kdm2a,KDM2A,KDM2A,True,True
Kdm2b,KDM2B,KDM2B,True,True
Kdm3a,KDM3A,KDM3A,True,True
Kdm3b,KDM3B,KDM3B,True,True
Kdm4a,KDM4A,KDM4A,True,True
Kdm4b,KDM4B,KDM4B,True,True
Kdm4c,KDM4C,KDM4C,True,True
Kdm4d,KDM4D,KDM4D,True,True
Kdm5a,KDM5A,KDM5A,True,True
Kdm5b,KDM5B,KDM5B,True,True
Kdm5c,KDM5C,KDM5C,True,True
Kdm5d,KDM5D,KDM5D,True,True
Kdm6a,KDM6A,KDM6A,True,True
Kdm6b,KDM6B,KDM6B,True,True
Kdm7a,KDM7A,KDM7A,True,True
Kdm8,KDM8,KDM8,True,True
Kdr,KDR,KDR,True,True
Kdsr,KDSR,KDSR,True,True
Keap1,KEAP1,KEAP1,True,True
Khdc4,KHDC4,KHDC4,False,True
Khdrbs1,KHDRBS1,KHDRBS1,True,True
Khdrbs2,KHDRBS2,KHDRBS2,True,True
Khdrbs3,KHDRBS3,KHDRBS3,True,True
Khk,KHK,KHK,True,True
Khnyn,KHNYN,KHNYN,True,True
Khsrp,KHSRP,KHSRP,True,True
Kidins220,KIDINS220,KIDINS220,True,True
Kif11,KIF11,KIF11,True,True
Kif12,KIF12,KIF12,True,True
Kif13a,KIF13A,KIF13A,True,True
Kif13b,KIF13B,KIF13B,True,True
Kif14,KIF14,KIF14,True,True
Kif15,KIF15,KIF15,True,True
Kif16b,KIF16B,KIF16B,True,True
Kif17,KIF17,KIF17,True,True
Kif18a,KIF18A,KIF18A,True,True
Kif18b,KIF18B,KIF18B,True,True
Kif1a,KIF1A,KIF1A,True,True
Kif1b,KIF1B,KIF1B,True,True
Kif1bp,KIF1BP,KIF1BP,True,True
Kif1c,KIF1C,KIF1C,True,True
Kif20a,KIF20A,KIF20A,False,True
Kif20b,KIF20B,KIF20B,True,True
Kif21a,KIF21A,KIF21A,True,True
Kif21b,KIF21B,KIF21B,True,True
Kif22,KIF22,KIF22,True,True
Kif23,KIF23,KIF23,True,True
Kif24,KIF24,KIF24,True,True
Kif26a,KIF26A,KIF26A,True,True
Kif26b,KIF26B,KIF26B,True,True
Kif27,KIF27,KIF27,True,True
Kif2a,KIF2A,KIF2A,True,True
Kif2c,KIF2C,KIF2C,True,True
Kif3a,KIF3A,KIF3A,True,True
Kif3b,KIF3B,KIF3B,True,True
Kif3c,KIF3C,KIF3C,True,True
Kif5a,KIF5A,KIF5A,True,True
Kif5b,KIF5B,KIF5B,True,True
Kif5c,KIF5C,KIF5C,True,True
Kif6,KIF6,KIF6,True,True
Kif7,KIF7,KIF7,True,True
Kif9,KIF9,KIF9,True,True
Kifap3,KIFAP3,KIFAP3,True,True
Kifc1,KIFC1,KIFC1,True,True
Kifc2,KIFC2,KIFC2,True,True
Kifc3,KIFC3,KIFC3,True,True
Kin,KIN,KIN,True,True
Kirrel,KIRREL,KIRREL,True,False
Kirrel2,KIRREL2,KIRREL2,True,True
Kirrel3,KIRREL3,KIRREL3,True,True
Kiss1r,KISS1R,KISS1R,True,True
Kit,KIT,KIT,True,True
Kiz,KIZ,KIZ,True,True
Kl,KL,KL,True,True
Klb,KLB,KLB,False,True
Klc1,KLC1,KLC1,True,True
Klc2,KLC2,KLC2,True,True
Klc3,KLC3,KLC3,False,True
Klc4,KLC4,KLC4,True,True
Klf1,KLF1,KLF1,False,True
Klf10,KLF10,KLF10,True,True
Klf11,KLF11,KLF11,True,True
Klf12,KLF12,KLF12,True,True
Klf13,KLF13,KLF13,True,True
Klf15,KLF15,KLF15,True,True
Klf16,KLF16,KLF16,True,True
Klf2,KLF2,KLF2,True,True
Klf3,KLF3,KLF3,True,True
Klf4,KLF4,KLF4,True,True
Klf5,KLF5,KLF5,True,True
Klf6,KLF6,KLF6,True,True
Klf7,KLF7,KLF7,True,True
Klf8,KLF8,KLF8,True,True
Klf9,KLF9,KLF9,True,True
Klhdc1,KLHDC1,KLHDC1,True,True
Klhdc10,KLHDC10,KLHDC10,True,True
Klhdc2,KLHDC2,KLHDC2,True,True
Klhdc3,KLHDC3,KLHDC3,True,True
Klhdc4,KLHDC4,KLHDC4,True,True
Klhdc7a,KLHDC7A,KLHDC7A,True,True
Klhdc8a,KLHDC8A,KLHDC8A,True,True
Klhdc8b,KLHDC8B,KLHDC8B,True,True
Klhdc9,KLHDC9,KLHDC9,True,True
Klhl1,KLHL1,KLHL1,True,True
Klhl10,KLHL10,KLHL10,False,True
Klhl11,KLHL11,KLHL11,True,True
Klhl12,KLHL12,KLHL12,True,True
Klhl13,KLHL13,KLHL13,True,True
Klhl14,KLHL14,KLHL14,True,True
Klhl15,KLHL15,KLHL15,True,True
Klhl18,KLHL18,KLHL18,True,True
Klhl2,KLHL2,KLHL2,True,True
Klhl20,KLHL20,KLHL20,True,True
Klhl21,KLHL21,KLHL21,True,True
Klhl22,KLHL22,KLHL22,True,True
Klhl23,KLHL23,KLHL23,True,True
Klhl24,KLHL24,KLHL24,True,True
Klhl25,KLHL25,KLHL25,True,True
Klhl26,KLHL26,KLHL26,True,True
Klhl28,KLHL28,KLHL28,True,True
Klhl29,KLHL29,KLHL29,True,True
Klhl3,KLHL3,KLHL3,True,True
Klhl30,KLHL30,KLHL30,True,True
Klhl31,KLHL31,KLHL31,True,True
Klhl32,KLHL32,KLHL32,True,True
Klhl33,KLHL33,KLHL33,True,True
Klhl35,KLHL35,KLHL35,True,True
Klhl36,KLHL36,KLHL36,True,True
Klhl4,KLHL4,KLHL4,True,True
Klhl40,KLHL40,KLHL40,False,True
Klhl41,KLHL41,KLHL41,True,True
Klhl42,KLHL42,KLHL42,True,True
Klhl5,KLHL5,KLHL5,True,True
Klhl6,KLHL6,KLHL6,True,True
Klhl7,KLHL7,KLHL7,True,True
Klhl8,KLHL8,KLHL8,True,True
Klhl9,KLHL9,KLHL9,True,True
Klk6,KLK6,KLK6,True,True
Klk8,KLK8,KLK8,False,True
Klk9,KLK9,KLK9,False,True
Klkb1,KLKB1,KLKB1,True,True
Klrd1,KLRD1,KLRD1,True,True
Klrg2,KLRG2,KLRG2,False,True
Klrk1,KLRK1,KLRK1,False,True
Kmo,KMO,KMO,False,True
Kmt2a,KMT2A,KMT2A,True,True
Kmt2b,KMT2B,KMT2B,True,True
Kmt2c,KMT2C,KMT2C,True,True
Kmt2d,KMT2D,KMT2D,True,True
Kmt2e,KMT2E,KMT2E,True,True
Kmt5a,KMT5A,KMT5A,True,True
Kmt5b,KMT5B,KMT5B,True,True
Kmt5c,KMT5C,KMT5C,True,True
Kncn,KNCN,KNCN,True,True
Kndc1,KNDC1,KNDC1,True,True
Knl1,KNL1,KNL1,False,True
Knop1,KNOP1,KNOP1,True,True
Knstrn,KNSTRN,KNSTRN,True,True
Kntc1,KNTC1,KNTC1,True,True
Kpna1,KPNA1,KPNA1,True,True
Kpna2,KPNA2,KPNA2,True,True
Kpna3,KPNA3,KPNA3,True,True
Kpna4,KPNA4,KPNA4,True,True
Kpna6,KPNA6,KPNA6,True,True
Kpna7,KPNA7,KPNA7,False,True
Kpnb1,KPNB1,KPNB1,True,True
Kptn,KPTN,KPTN,True,True
Kras,KRAS,KRAS,True,True
Krba1,KRBA1,KRBA1,True,True
Krcc1,KRCC1,KRCC1,True,True
Kremen1,KREMEN1,KREMEN1,True,True
Kremen2,KREMEN2,KREMEN2,False,True
Kri1,KRI1,KRI1,True,True
Krit1,KRIT1,KRIT1,True,True
Krr1,KRR1,KRR1,True,True
Krt10,KRT10,KRT10,True,True
Krt12,KRT12,KRT12,False,True
Krt15,KRT15,KRT15,False,True
Krt17,KRT17,KRT17,True,True
Krt18,KRT18,KRT18,True,True
Krt20,KRT20,KRT20,False,True
Krt222,KRT222,KRT222,True,True
Krt23,KRT23,KRT23,False,True
Krt25,KRT25,KRT25,False,True
Krt26,KRT26,KRT26,False,True
Krt28,KRT28,KRT28,False,True
Krt77,KRT77,KRT77,False,True
Krt8,KRT8,KRT8,True,True
Krt80,KRT80,KRT80,False,True
Krtcap2,KRTCAP2,KRTCAP2,True,True
Krtcap3,KRTCAP3,KRTCAP3,True,True
Ksr1,KSR1,KSR1,True,True
Ksr2,KSR2,KSR2,True,True
Kti12,KTI12,KTI12,True,True
Ktn1,KTN1,KTN1,True,True
Kxd1,KXD1,KXD1,True,True
Ky,KY,KY,True,True
Kyat1,KYAT1,KYAT1,True,True
Kyat3,KYAT3,KYAT3,True,True
Kynu,KYNU,KYNU,True,True
L1cam,L1CAM,L1CAM,True,True
L2hgdh,L2HGDH,L2HGDH,True,True
L3hypdh,L3HYPDH,L3HYPDH,True,True
L3mbtl1,L3MBTL1,L3MBTL1,True,True
L3mbtl2,L3MBTL2,L3MBTL2,True,True
L3mbtl3,L3MBTL3,L3MBTL3,True,True
L3mbtl4,L3MBTL4,L3MBTL4,True,True
LTO1,LTO1,LTO1,False,True
Lacc1,LACC1,LACC1,True,True
Lactb,LACTB,LACTB,True,True
Lactb2,LACTB2,LACTB2,True,True
Lactbl1,LACTBL1,LACTBL1,False,True
Lad1,LAD1,LAD1,False,True
Lag3,LAG3,LAG3,True,True
Lage3,LAGE3,LAGE3,True,True
Lair1,LAIR1,LAIR1,True,True
Lama1,LAMA1,LAMA1,True,True
Lama2,LAMA2,LAMA2,True,True
Lama3,LAMA3,LAMA3,True,True
Lama4,LAMA4,LAMA4,True,True
Lama5,LAMA5,LAMA5,True,True
Lamb1,LAMB1,LAMB1,True,True
Lamb2,LAMB2,LAMB2,True,True
Lamb3,LAMB3,LAMB3,True,True
Lamc1,LAMC1,LAMC1,True,True
Lamc2,LAMC2,LAMC2,False,True
Lamc3,LAMC3,LAMC3,True,True
Lamp1,LAMP1,LAMP1,True,True
Lamp2,LAMP2,LAMP2,True,True
Lamp5,LAMP5,LAMP5,True,True
Lamtor1,LAMTOR1,LAMTOR1,True,True
Lamtor2,LAMTOR2,LAMTOR2,True,True
Lamtor3,LAMTOR3,LAMTOR3,True,True
Lamtor4,LAMTOR4,LAMTOR4,True,True
Lamtor5,LAMTOR5,LAMTOR5,True,True
Lancl1,LANCL1,LANCL1,True,True
Lancl2,LANCL2,LANCL2,True,True
Lancl3,LANCL3,LANCL3,True,True
Lap3,LAP3,LAP3,True,True
Laptm4a,LAPTM4A,LAPTM4A,True,True
Laptm4b,LAPTM4B,LAPTM4B,True,True
Laptm5,LAPTM5,LAPTM5,True,True
Large1,LARGE1,LARGE1,True,True
Large2,LARGE2,LARGE2,False,True
Larp1,LARP1,LARP1,True,True
Larp1b,LARP1B,LARP1B,True,True
Larp4,LARP4,LARP4,True,True
Larp4b,LARP4B,LARP4B,True,True
Larp6,LARP6,LARP6,True,True
Larp7,LARP7,LARP7,True,True
Lars,LARS,LARS,True,True
Lars2,LARS2,LARS2,True,True
Las1l,LAS1L,LAS1L,True,True
Lasp1,LASP1,LASP1,True,True
Lat,LAT,LAT,True,True
Lat2,LAT2,LAT2,True,True
Lats1,LATS1,LATS1,True,True
Lats2,LATS2,LATS2,True,True
Layn,LAYN,LAYN,True,True
Lbh,LBH,LBH,True,True
Lbhd1,LBHD1,LBHD1,True,True
Lbhd2,LBHD2,LBHD2,False,True
Lbp,LBP,LBP,False,True
Lbr,LBR,LBR,True,True
Lbx2,LBX2,LBX2,False,True
Lca5,LCA5,LCA5,True,True
Lca5l,LCA5L,LCA5L,True,True
Lcat,LCAT,LCAT,True,True
Lck,LCK,LCK,False,True
Lclat1,LCLAT1,LCLAT1,True,True
Lcmt1,LCMT1,LCMT1,True,True
Lcmt2,LCMT2,LCMT2,True,True
Lcn2,LCN2,LCN2,False,True
Lcor,LCOR,LCOR,True,True
Lcorl,LCORL,LCORL,True,True
Lcp1,LCP1,LCP1,True,True
Lcp2,LCP2,LCP2,True,True
Lct,LCT,LCT,False,True
Lctl,LCTL,LCTL,True,True
Ldah,LDAH,LDAH,True,True
Ldb1,LDB1,LDB1,True,True
Ldb2,LDB2,LDB2,True,True
Ldb3,LDB3,LDB3,True,True
Ldha,LDHA,LDHA,True,True
Ldhal6b,LDHAL6B,LDHAL6B,False,True
Ldhb,LDHB,LDHB,True,True
Ldhc,LDHC,LDHC,False,True
Ldhd,LDHD,LDHD,True,True
Ldlr,LDLR,LDLR,True,True
Ldlrad2,LDLRAD2,LDLRAD2,True,True
Ldlrad3,LDLRAD3,LDLRAD3,True,True
Ldlrad4,LDLRAD4,LDLRAD4,True,True
Ldlrap1,LDLRAP1,LDLRAP1,True,True
Ldoc1,LDOC1,LDOC1,True,True
Lef1,LEF1,LEF1,True,True
Lefty1,LEFTY1,LEFTY1,True,True
Lekr1,LEKR1,LEKR1,True,True
Lemd1,LEMD1,LEMD1,True,True
Lemd2,LEMD2,LEMD2,True,True
Lemd3,LEMD3,LEMD3,True,True
Leng1,LENG1,LENG1,True,True
Leng8,LENG8,LENG8,True,True
Leng9,LENG9,LENG9,True,True
Leo1,LEO1,LEO1,True,True
Lepr,LEPR,LEPR,True,True
Leprot,LEPROT,LEPROT,True,True
Leprotl1,LEPROTL1,LEPROTL1,True,True
Letm1,LETM1,LETM1,True,True
Letm2,LETM2,LETM2,True,True
Letmd1,LETMD1,LETMD1,True,True
Lexm,LEXM,LEXM,False,True
Lfng,LFNG,LFNG,True,True
Lgals1,LGALS1,LGALS1,True,True
Lgals12,LGALS12,LGALS12,False,True
Lgals2,LGALS2,LGALS2,False,True
Lgals3,LGALS3,LGALS3,True,True
Lgals3bp,LGALS3BP,LGALS3BP,True,True
Lgals4,LGALS4,LGALS4,True,True
Lgals7,LGALS7,LGALS7,False,True
Lgals8,LGALS8,LGALS8,True,True
Lgals9,LGALS9,LGALS9,True,True
Lgalsl,LGALSL,LGALSL,True,True
Lgi1,LGI1,LGI1,True,True
Lgi2,LGI2,LGI2,True,True
Lgi3,LGI3,LGI3,True,True
Lgi4,LGI4,LGI4,True,True
Lgmn,LGMN,LGMN,True,True
Lgr4,LGR4,LGR4,True,True
Lgr5,LGR5,LGR5,True,True
Lgr6,LGR6,LGR6,True,True
Lhb,LHB,LHB,False,True
Lhcgr,LHCGR,LHCGR,True,True
Lhfp,LHFP,LHFP,True,False
Lhfpl1,LHFPL1,LHFPL1,True,True
Lhfpl2,LHFPL2,LHFPL2,True,True
Lhfpl3,LHFPL3,LHFPL3,True,True
Lhfpl4,LHFPL4,LHFPL4,True,True
Lhfpl5,LHFPL5,LHFPL5,True,True
Lhpp,LHPP,LHPP,True,True
Lhx1,LHX1,LHX1,True,True
Lhx2,LHX2,LHX2,True,True
Lhx6,LHX6,LHX6,True,True
Lhx9,LHX9,LHX9,True,True
Lias,LIAS,LIAS,True,True
Lifr,LIFR,LIFR,True,True
Lig1,LIG1,LIG1,True,True
Lig3,LIG3,LIG3,True,True
Lig4,LIG4,LIG4,True,True
Lilra5,LILRA5,LILRA5,False,True
Lima1,LIMA1,LIMA1,True,True
Limch1,LIMCH1,LIMCH1,True,True
Limd1,LIMD1,LIMD1,True,True
Limd2,LIMD2,LIMD2,True,True
Limk1,LIMK1,LIMK1,True,True
Limk2,LIMK2,LIMK2,True,True
Lims1,LIMS1,LIMS1,True,True
Lims2,LIMS2,LIMS2,True,True
Lin28b,LIN28B,LIN28B,True,True
Lin37,LIN37,LIN37,True,True
Lin52,LIN52,LIN52,True,True
Lin54,LIN54,LIN54,True,True
Lin7a,LIN7A,LIN7A,True,True
Lin7b,LIN7B,LIN7B,True,True
Lin7c,LIN7C,LIN7C,True,True
Lin9,LIN9,LIN9,True,True
Lingo1,LINGO1,LINGO1,True,True
Lingo2,LINGO2,LINGO2,True,True
Lingo3,LINGO3,LINGO3,True,True
Lingo4,LINGO4,LINGO4,True,True
Lins1,LINS1,LINS1,True,True
Lipa,LIPA,LIPA,True,True
Lipc,LIPC,LIPC,True,True
Lipe,LIPE,LIPE,True,True
Lipg,LIPG,LIPG,True,True
Liph,LIPH,LIPH,True,True
Lipk,LIPK,LIPK,False,True
Lipt1,LIPT1,LIPT1,True,True
Lipt2,LIPT2,LIPT2,True,True
Litaf,LITAF,LITAF,True,True
Lix1,LIX1,LIX1,True,True
Lix1l,LIX1L,LIX1L,True,True
Llgl1,LLGL1,LLGL1,True,True
Llgl2,LLGL2,LLGL2,True,True
Llph,LLPH,LLPH,True,True
Lman1,LMAN1,LMAN1,True,True
Lman1l,LMAN1L,LMAN1L,False,True
Lman2,LMAN2,LMAN2,True,True
Lman2l,LMAN2L,LMAN2L,True,True
Lmbr1,LMBR1,LMBR1,True,True
Lmbr1l,LMBR1L,LMBR1L,True,True
Lmbrd1,LMBRD1,LMBRD1,True,True
Lmbrd2,LMBRD2,LMBRD2,True,True
Lmcd1,LMCD1,LMCD1,True,True
Lmf1,LMF1,LMF1,True,True
Lmf2,LMF2,LMF2,True,True
Lmln,LMLN,LMLN,True,True
Lmna,LMNA,LMNA,True,True
Lmnb1,LMNB1,LMNB1,True,True
Lmnb2,LMNB2,LMNB2,True,True
Lmntd1,LMNTD1,LMNTD1,True,True
Lmntd2,LMNTD2,LMNTD2,False,True
Lmo1,LMO1,LMO1,True,True
Lmo2,LMO2,LMO2,True,True
Lmo3,LMO3,LMO3,True,True
Lmo4,LMO4,LMO4,True,True
Lmo7,LMO7,LMO7,True,True
Lmod1,LMOD1,LMOD1,True,True
Lmtk2,LMTK2,LMTK2,True,True
Lmtk3,LMTK3,LMTK3,True,True
Lmx1a,LMX1A,LMX1A,True,True
Lmx1b,LMX1B,LMX1B,True,True
Lnpep,LNPEP,LNPEP,True,True
Lnpk,LNPK,LNPK,False,True
Lnx1,LNX1,LNX1,True,True
Lnx2,LNX2,LNX2,True,True
Lonp1,LONP1,LONP1,True,True
Lonp2,LONP2,LONP2,True,True
Lonrf1,LONRF1,LONRF1,True,True
Lonrf2,LONRF2,LONRF2,True,True
Lonrf3,LONRF3,LONRF3,True,True
Lor,LOR,LOR,False,True
Lox,LOX,LOX,True,True
Loxhd1,LOXHD1,LOXHD1,True,True
Loxl1,LOXL1,LOXL1,True,True
Loxl2,LOXL2,LOXL2,True,True
Loxl3,LOXL3,LOXL3,True,True
Loxl4,LOXL4,LOXL4,True,True
Lpar1,LPAR1,LPAR1,True,True
Lpar2,LPAR2,LPAR2,True,True
Lpar3,LPAR3,LPAR3,True,True
Lpar4,LPAR4,LPAR4,True,True
Lpar5,LPAR5,LPAR5,True,True
Lpar6,LPAR6,LPAR6,True,True
Lpcat1,LPCAT1,LPCAT1,True,True
Lpcat2,LPCAT2,LPCAT2,True,True
Lpcat3,LPCAT3,LPCAT3,True,True
Lpcat4,LPCAT4,LPCAT4,True,True
Lpgat1,LPGAT1,LPGAT1,True,True
Lpin1,LPIN1,LPIN1,True,True
Lpin2,LPIN2,LPIN2,True,True
Lpin3,LPIN3,LPIN3,True,True
Lpl,LPL,LPL,True,True
Lpo,LPO,LPO,True,True
Lpp,LPP,LPP,True,True
Lpxn,LPXN,LPXN,True,True
Lrat,LRAT,LRAT,True,True
Lratd1,LRATD1,LRATD1,False,True
Lratd2,LRATD2,LRATD2,False,True
Lrba,LRBA,LRBA,True,True
Lrch1,LRCH1,LRCH1,True,True
Lrch2,LRCH2,LRCH2,True,True
Lrch3,LRCH3,LRCH3,True,True
Lrch4,LRCH4,LRCH4,True,True
Lrfn1,LRFN1,LRFN1,True,True
Lrfn2,LRFN2,LRFN2,True,True
Lrfn3,LRFN3,LRFN3,True,True
Lrfn4,LRFN4,LRFN4,True,True
Lrfn5,LRFN5,LRFN5,True,True
Lrg1,LRG1,LRG1,False,True
Lrguk,LRGUK,LRGUK,True,True
Lrif1,LRIF1,LRIF1,True,True
Lrig1,LRIG1,LRIG1,True,True
Lrig2,LRIG2,LRIG2,True,True
Lrig3,LRIG3,LRIG3,True,True
Lrmda,LRMDA,LRMDA,False,True
Lrmp,LRMP,LRMP,True,True
Lrp1,LRP1,LRP1,True,True
Lrp10,LRP10,LRP10,True,True
Lrp11,LRP11,LRP11,True,True
Lrp12,LRP12,LRP12,True,True
Lrp1b,LRP1B,LRP1B,True,True
Lrp2,LRP2,LRP2,True,True
Lrp2bp,LRP2BP,LRP2BP,True,True
Lrp3,LRP3,LRP3,True,True
Lrp4,LRP4,LRP4,True,True
Lrp5,LRP5,LRP5,True,True
Lrp6,LRP6,LRP6,True,True
Lrp8,LRP8,LRP8,True,True
Lrpap1,LRPAP1,LRPAP1,True,True
Lrpprc,LRPPRC,LRPPRC,True,True
Lrrc1,LRRC1,LRRC1,True,True
Lrrc10b,LRRC10B,LRRC10B,True,True
Lrrc14,LRRC14,LRRC14,True,True
Lrrc14b,LRRC14B,LRRC14B,True,True
Lrrc17,LRRC17,LRRC17,True,True
Lrrc18,LRRC18,LRRC18,False,True
Lrrc19,LRRC19,LRRC19,False,True
Lrrc2,LRRC2,LRRC2,True,True
Lrrc20,LRRC20,LRRC20,True,True
Lrrc23,LRRC23,LRRC23,True,True
Lrrc24,LRRC24,LRRC24,True,True
Lrrc25,LRRC25,LRRC25,True,True
Lrrc27,LRRC27,LRRC27,True,True
Lrrc28,LRRC28,LRRC28,True,True
Lrrc29,LRRC29,LRRC29,True,True
Lrrc3,LRRC3,LRRC3,True,True
Lrrc32,LRRC32,LRRC32,True,True
Lrrc34,LRRC34,LRRC34,True,True
Lrrc36,LRRC36,LRRC36,True,True
Lrrc37a,LRRC37A,LRRC37A,True,True
Lrrc38,LRRC38,LRRC38,False,True
Lrrc39,LRRC39,LRRC39,True,True
Lrrc3b,LRRC3B,LRRC3B,True,True
Lrrc4,LRRC4,LRRC4,True,True
Lrrc40,LRRC40,LRRC40,True,True
Lrrc41,LRRC41,LRRC41,True,True
Lrrc42,LRRC42,LRRC42,True,True
Lrrc43,LRRC43,LRRC43,True,True
Lrrc45,LRRC45,LRRC45,True,True
Lrrc46,LRRC46,LRRC46,True,True
Lrrc47,LRRC47,LRRC47,True,True
Lrrc49,LRRC49,LRRC49,True,True
Lrrc4b,LRRC4B,LRRC4B,True,True
Lrrc4c,LRRC4C,LRRC4C,True,True
Lrrc55,LRRC55,LRRC55,True,True
Lrrc56,LRRC56,LRRC56,True,True
Lrrc57,LRRC57,LRRC57,True,True
Lrrc58,LRRC58,LRRC58,True,True
Lrrc59,LRRC59,LRRC59,True,True
Lrrc6,LRRC6,LRRC6,True,True
Lrrc61,LRRC61,LRRC61,True,True
Lrrc63,LRRC63,LRRC63,True,True
Lrrc69,LRRC69,LRRC69,True,True
Lrrc7,LRRC7,LRRC7,True,True
Lrrc71,LRRC71,LRRC71,True,True
Lrrc73,LRRC73,LRRC73,True,True
Lrrc74b,LRRC74B,LRRC74B,True,True
Lrrc75a,LRRC75A,LRRC75A,True,True
Lrrc75b,LRRC75B,LRRC75B,True,True
Lrrc8a,LRRC8A,LRRC8A,True,True
Lrrc8b,LRRC8B,LRRC8B,True,True
Lrrc8c,LRRC8C,LRRC8C,True,True
Lrrc8d,LRRC8D,LRRC8D,True,True
Lrrc8e,LRRC8E,LRRC8E,False,True
Lrrc9,LRRC9,LRRC9,True,True
Lrrcc1,LRRCC1,LRRCC1,True,True
Lrrd1,LRRD1,LRRD1,True,True
Lrrfip1,LRRFIP1,LRRFIP1,True,True
Lrrfip2,LRRFIP2,LRRFIP2,True,True
Lrriq1,LRRIQ1,LRRIQ1,True,True
Lrriq3,LRRIQ3,LRRIQ3,True,True
Lrrk1,LRRK1,LRRK1,True,True
Lrrk2,LRRK2,LRRK2,True,True
Lrrn1,LRRN1,LRRN1,True,True
Lrrn2,LRRN2,LRRN2,True,True
Lrrn3,LRRN3,LRRN3,True,True
Lrrn4cl,LRRN4CL,LRRN4CL,True,True
Lrrtm1,LRRTM1,LRRTM1,True,True
Lrrtm2,LRRTM2,LRRTM2,True,True
Lrrtm3,LRRTM3,LRRTM3,True,True
Lrrtm4,LRRTM4,LRRTM4,True,True
Lrsam1,LRSAM1,LRSAM1,True,True
Lrtm1,LRTM1,LRTM1,False,True
Lrtm2,LRTM2,LRTM2,True,True
Lrwd1,LRWD1,LRWD1,True,True
Lsamp,LSAMP,LSAMP,True,True
Lsg1,LSG1,LSG1,True,True
Lsm1,LSM1,LSM1,True,True
Lsm10,LSM10,LSM10,True,True
Lsm11,LSM11,LSM11,True,True
Lsm12,LSM12,LSM12,True,True
Lsm14a,LSM14A,LSM14A,True,True
Lsm14b,LSM14B,LSM14B,True,True
Lsm2,LSM2,LSM2,True,True
Lsm3,LSM3,LSM3,True,True
Lsm4,LSM4,LSM4,True,True
Lsm5,LSM5,LSM5,True,True
Lsm6,LSM6,LSM6,True,True
Lsm7,LSM7,LSM7,True,True
Lsm8,LSM8,LSM8,True,True
Lsmem1,LSMEM1,LSMEM1,True,True
Lsmem2,LSMEM2,LSMEM2,True,True
Lsp1,LSP1,LSP1,True,True
Lsr,LSR,LSR,True,True
Lss,LSS,LSS,True,True
Lst1,LST1,LST1,True,True
Lta4h,LTA4H,LTA4H,True,True
Ltb,LTB,LTB,False,True
Ltbp1,LTBP1,LTBP1,True,True
Ltbp2,LTBP2,LTBP2,True,True
Ltbp3,LTBP3,LTBP3,True,True
Ltbp4,LTBP4,LTBP4,True,True
Ltbr,LTBR,LTBR,True,True
Ltc4s,LTC4S,LTC4S,False,True
Ltk,LTK,LTK,True,True
Ltn1,LTN1,LTN1,True,True
Ltv1,LTV1,LTV1,True,True
Luc7l,LUC7L,LUC7L,True,True
Luc7l2,LUC7L2,LUC7L2,True,True
Luc7l3,LUC7L3,LUC7L3,True,True
Lum,LUM,LUM,True,True
Lurap1,LURAP1,LURAP1,True,True
Lurap1l,LURAP1L,LURAP1L,True,True
Luzp1,LUZP1,LUZP1,True,True
Luzp2,LUZP2,LUZP2,True,True
Lvrn,LVRN,LVRN,True,True
Lxn,LXN,LXN,True,True
Ly6e,LY6E,LY6E,True,True
Ly6g5b,LY6G5B,LY6G5B,True,True
Ly6g6d,LY6G6D,LY6G6D,False,True
Ly6g6f,LY6G6F,LY6G6F,False,True
Ly6h,LY6H,LY6H,True,True
Ly75,LY75,LY75,True,True
Ly86,LY86,LY86,True,True
Ly9,LY9,LY9,False,True
Ly96,LY96,LY96,True,True
Lyar,LYAR,LYAR,True,True
Lyg2,LYG2,LYG2,False,True
Lyl1,LYL1,LYL1,True,True
Lyn,LYN,LYN,True,True
Lynx1,LYNX1,LYNX1,True,True
Lypd1,LYPD1,LYPD1,True,True
